nom,url_spotify,url_deezer,categorie,genre
LJK,https://open.spotify.com/artist/6KPfd2qfwePi6IM7RyQ3hd,,Rap-HipHop-RnB,Rap-HipHop-RnB
La Cabine,https://open.spotify.com/artist/2NNoglK9J8vzsowuHI6k6n,,Rap-HipHop-RnB,Rap-HipHop-RnB
OPINEL 21,https://open.spotify.com/artist/5x6fEO7JyQd948Wvonm9xt,,Rap-HipHop-RnB,Rap-HipHop-RnB
Nouvelle Donne,https://open.spotify.com/artist/6Numu0Mz3dCUG6kiBNdf5E,,Rap-HipHop-RnB,Rap-HipHop-RnB
Mikeysem,https://open.spotify.com/artist/5Yz9TYi94Uup3otqHYUF5T,,Rap-HipHop-RnB,Rap-HipHop-RnB
The Alone,https://open.spotify.com/artist/2T1HPiXlPPtIZwcYovhQIO,,Rap-HipHop-RnB,Rap-HipHop-RnB
Cloudie,https://open.spotify.com/artist/52jIUp3kS81lUqD2jFhAQd,,Rap-HipHop-RnB,Rap-HipHop-RnB
Aj Ness,https://open.spotify.com/artist/4UKbdCFXAar9HgTTBPyef5,,Rap-HipHop-RnB,Rap-HipHop-RnB
Time Bomb All Stars,https://open.spotify.com/artist/6QEjD1XO21pQDdID9edgCp,,Rap-HipHop-RnB,Rap-HipHop-RnB
Felipe,https://open.spotify.com/artist/1jEvmmt62aPniaH6j7py8S,,Rap-HipHop-RnB,Rap-HipHop-RnB
IZU BABE,https://open.spotify.com/artist/5fWWmqih67RIDZDuY7Wpk6,,Rap-HipHop-RnB,Rap-HipHop-RnB
Narco G,https://open.spotify.com/artist/7D3hvCTFpI2gnTqKdvPKjz,,Rap-HipHop-RnB,Rap-HipHop-RnB
Emlo,https://open.spotify.com/artist/5O4IDbze1xrfs2zY8wLJ1H,,Rap-HipHop-RnB,Rap-HipHop-RnB
Coco061,https://open.spotify.com/artist/4jQd4K8fy9EuJJZErkbHts,,Rap-HipHop-RnB,Rap-HipHop-RnB
2sick,https://open.spotify.com/artist/1FQkPQ3IrjRAny1OXdGX8S,,Rap-HipHop-RnB,Rap-HipHop-RnB
Gus,https://open.spotify.com/artist/6kL9VJ0wAshNzlVZmSJZJN,,Rap-HipHop-RnB,Rap-HipHop-RnB
SOROSORO,https://open.spotify.com/artist/1S0pZbFHkQSJvvpzfIHXSS,,Rap-HipHop-RnB,Rap-HipHop-RnB
Dex z8,https://open.spotify.com/artist/5TMmwFXvTgvBKtgzHOLG4N,,Rap-HipHop-RnB,Rap-HipHop-RnB
