nom,source,score,followers,fans,spotify_id,deezer_id
Les Amis D'ta Femme,Spotify,,,,27zZxSk7AynBSC0XYiivLp,
France Mpundu,Spotify,,,,3H7eNFfmHDrZoHoTfDJyGE,
Poppy Fusée,Spotify,,,,5IFUbcd4w9UlVpsMNfY4FT,
Le Réparateur,Spotify,,,,1y1PK1PL2dgNh0TwQTpZMU,
Humphrey,Spotify,,,,2RTeAMXtT5IZA4HndoFSNq,
NeoFX,Spotify,,,,0lkiOp3vyxpN37Y6OCf9yO,
Cheb Aymen Parisien,Spotify,,,,0F2vt3PHYGZ8pSFBHZ0laC,
Paris Paige,Spotify,,,,4MwF8qs0Uukh7VQdbVEcpP,
Jasmïn,Spotify,,,,1dFiLNmRKzp1sA088KuwCw,
Warning,Spotify,,,,215tdyVWdDYOjufDKf6UJg,
Adamé,Spotify,,,,0sERWA25W58jwsWqspklGe,
Malo',Spotify,,,,0wHHtuNdjnmH9spIm2VrhR,
Thomas de Pourquery,Spotify,,,,1tMIosPVEqpXGdD8JW1tIe,
Terco92,Spotify,,,,2KUtIRV7tG4q4uyzHSkOqT,
Kasper 939,Spotify,,,,6wUGiWb7FR3Cv39sELlp1U,
$hiro,Spotify,,,,5ccC62eZo8vv2qTOTndIkn,
LILLEN,Spotify,,,,04Me6qNw3Z1CIqUWrkmF5B,
Haley James Scott,Spotify,,,,7y4JSWyptLDbIWn5LOhydr,
Coco061,Spotify,,,,4jQd4K8fy9EuJJZErkbHts,
PMD,Spotify,,,,3xgVb12lTabQh3FnxXgjQk,
Astral Bakers,Spotify,,,,6VUpGE6ErMWwqZGepBWc0D,
Lille Pablo,Spotify,,,,6Y4IHXCDwWvuNBmdqTIUTz,
AfroBeats,Spotify,,,,1TtIkputhybiL64ttVwE1H,
AqME,Spotify,,,,37P7yznrsIGSfuGOzmmt26,
Afro S,Spotify,,,,0rBAjYzMBBP3u4LZLc1qwF,
Gabi,Spotify,,,,4gkLBjl1hnfw2pmSZ1JNZl,
SPORE,Spotify,,,,66xA2uEVOChiDTKdZd6hgV,
Oordaya,Spotify,,,,7JWxRPYnCGaZPh1L44NWtY,
Nawel Ben Kraiem,Spotify,,,,2FnT84XG3yKLIHEjheon9W,
Vibe,Spotify,,,,0ZrPyHGPWRiOphFxml3rFO,
Demusmaker,Spotify,,,,04YHyUbd7Ic47Zi2LtPzuv,
David Castello-Lopes,Spotify,,,,5wQ1ffwDHKe06PEKCIgLNG,
Cabadzi,Spotify,,,,6SOfR3vMDf9otrCMyzrdDn,
Grizzly 942,Spotify,,,,4KLjcYXXF6lORi2XOXAmz2,
Paris Price,Spotify,,,,6rt9RysQUXJjzYXaIXdXu7,
KLN 93,Spotify,,,,7wMBwaUmhrkuaq7vGWY8bt,
94brizzy,Spotify,,,,4NOg3L0IrFUnGe6dhO1D2i,
Lillebittebock,Spotify,,,,1Bkcm42So5nKYkY5DEHbO2,
Walk in Paris,Spotify,,,,7iogfxoFBRb7fwoxDIFJoG,
La Phaze,Spotify,,,,1J65MRryoT7CWCesOe3nBb,
Johnny Montreuil,Spotify,,,,6SlO9eMZZGEKIoYb6vlBkC,
Trigones Plus,Spotify,,,,7Ix71RYt7HB9EHCJGjlk8J,
Laskiiz,Spotify,,,,43iw2eN2eQhF9GaouZCn1Q,
Gus,Spotify,,,,6kL9VJ0wAshNzlVZmSJZJN,
Esteban,Spotify,,,,3nul4CdUXaaA3QSHrduvtu,
Bagdad Rodeo,Spotify,,,,0neByJeiLyO8TRikP9vXPV,
93PUNX,Spotify,,,,0qfeDvoajHGoVkmIW7fgra,
