nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
Debbie Sparrow,1386,30,8.1,21.9,53.12,2025-10-29,Non spécifié,https://open.spotify.com/artist/5I7n2ShTdX5Kv06rrKOVW0,2025-12-17 11:37:37
Camille Jansen,20497,31,26.0,5.0,52.9,2024-07-05,Non spécifié,https://open.spotify.com/artist/3fPap8kKuNMRn5PR06x0gN,2025-12-17 11:39:23
Zinée,20009,34,30.6,3.4,52.82,2024-05-17,french rap,https://open.spotify.com/artist/6LAeGs6PiBDev5KdMdbRY3,2025-12-17 11:33:32
Yadley,3608,45,39.7,5.3,52.03,2025-12-08,french rap,https://open.spotify.com/artist/74pShl8aP0kqZRJykO3W9v,2025-12-17 11:32:58
DJ Milane,3167,44,53.5,-9.5,51.97,2025-07-11,french rap,https://open.spotify.com/artist/51VUv5NmNQEO5TMGEaUXAJ,2025-12-17 11:33:15
DJ PHIL,1288,33,17.11,15.89,51.88,2025-09-05,"zouk, shatta, kompa",https://open.spotify.com/artist/2Yc5AMLoJadf2uqow6ex9G,2025-12-17 11:35:45
DJ SAURIER,1409,44,35.75,8.25,51.84,2025-10-24,shatta,https://open.spotify.com/artist/5FKogijn8UxQeGoSGgTpss,2025-12-17 11:35:40
Baloji,31996,26,21.2,4.8,51.44,2024-04-05,Non spécifié,https://open.spotify.com/artist/5u45xl7D9HpJJvRo0joct8,2025-12-17 11:39:37
Boumidjal X,1795,44,39.7,4.3,50.81,2025-11-28,Non spécifié,https://open.spotify.com/artist/3i2AdhSP4YeSYY1m5JoUnK,2025-12-17 11:32:56
RDR,4309,41,39.9,1.1,50.25,2025-11-26,french rap,https://open.spotify.com/artist/2K8TwF85tEXePefdOxPZTW,2025-12-17 11:32:07
Shad Hottaboy,4651,34,29.83,4.17,49.91,2025-11-07,"shatta, afrobeat, pop urbaine",https://open.spotify.com/artist/3LWw4ar9kTrbOgTUvyZQjW,2025-12-17 11:32:39
Chakal,4428,38,37.0,1.0,49.67,2025-10-24,french rap,https://open.spotify.com/artist/1OnuDLR26trnDoJyzcDZ4R,2025-12-17 11:32:25
Dj M'sy,3278,36,32.5,3.5,49.56,2025-12-05,"zouk, kompa, shatta",https://open.spotify.com/artist/0Xmy1akydp75Cv7zYLeB8c,2025-12-17 11:35:32
Tvslym,4696,32,27.9,4.1,49.51,2025-11-28,french rap,https://open.spotify.com/artist/7jPzAS2xqIxyKHhGHIfuyf,2025-12-17 11:32:44
kxvas,1606,42,41.3,0.7,49.25,2025-10-10,Non spécifié,https://open.spotify.com/artist/11CiFwWyeyefgqNehbDfMJ,2025-12-17 11:39:36
MUFASA,1419,33,26.1,6.9,49.24,2025-01-31,Non spécifié,https://open.spotify.com/artist/4LbbliZFlXHYd6ekF1iwEs,2025-12-17 11:32:14
Magical Nrick,1143,38,34.6,3.4,49.08,2025-11-21,"zouk, kompa, shatta",https://open.spotify.com/artist/57C1xJXu10Mi0X3toUb8Ig,2025-12-17 11:35:44
Hopital,1236,39,37.9,1.1,48.62,2025-02-21,french rap,https://open.spotify.com/artist/6qbmlh4PmXyY4Tzi2QcGKn,2025-12-17 11:33:46
Tatase,4100,30,27.4,2.6,48.42,2025-09-12,"zouk, shatta, kompa",https://open.spotify.com/artist/1pXHYfRlxciyVOoD7tQNgy,2025-12-17 11:35:28
Rizla,1592,32,27.4,4.6,48.42,2025-05-23,french rap,https://open.spotify.com/artist/7kFisfGeczOqvTat4APtdZ,2025-12-17 11:38:42
ex7stence,4481,43,40.75,2.25,48.07,2024-05-03,Non spécifié,https://open.spotify.com/artist/24VULASL3GkrIpKGZUJQBd,2025-12-17 11:37:10
Ekoms,2131,31,27.6,3.4,48.07,2025-01-31,Non spécifié,https://open.spotify.com/artist/6bgeoMw6N8eRZWql5rWBql,2025-12-17 11:37:12
Staniski,2015,31,29.1,1.9,47.58,2025-02-26,"zouk, kompa, shatta, kizomba",https://open.spotify.com/artist/1QRTYLIPAn0oA3Fus7sviT,2025-12-17 11:35:59
William Pascal,4847,27,14.0,13.0,46.24,2025-05-16,Non spécifié,https://open.spotify.com/artist/2c9fnECE6Zsh01kUjJhN6U,2025-12-17 11:34:40
Msylirik,6872,18,14.5,3.5,45.65,2025-05-01,"zouk, kompa",https://open.spotify.com/artist/3XU1BNxmX92sOL1VTQbUUI,2025-12-17 11:35:39
LUZON,3073,30,26.5,3.5,45.28,2024-07-26,french rap,https://open.spotify.com/artist/3kJMhlNemiDXcwAcKV91OU,2025-12-17 11:34:26
DJ Low Cut,3483,23,10.8,12.2,44.65,2025-05-16,"underground hip hop, boom bap",https://open.spotify.com/artist/1akzQX9lyUCEYZ2srHuFKb,2025-12-17 11:34:03
Urumi,4716,28,24.2,3.8,43.63,2025-10-31,Non spécifié,https://open.spotify.com/artist/6OY49yYVyrfA74zEAFrcYJ,2025-12-17 11:33:50
MaMaMa,6215,19,14.2,4.8,43.57,2024-03-01,"french indie pop, french pop",https://open.spotify.com/artist/4cyoA6TEaCkcI6ue37dJpw,2025-12-17 11:39:31
Austin.,4435,27,25.2,1.8,42.71,2025-12-12,french rap,https://open.spotify.com/artist/68ZelUIcF3n3yNyakobhAG,2025-12-17 11:34:04
PAPI TeddyBear,3414,27,24.3,2.7,42.58,2025-02-19,french rap,https://open.spotify.com/artist/5FlUQWvr6Iwcfz4NZOQOT9,2025-12-17 11:33:49
Sika Rlion,4165,25,22.4,2.6,42.45,2025-04-25,Non spécifié,https://open.spotify.com/artist/2bk4OvULWozcTHC7EMhKaA,2025-12-17 11:35:34
Zek,3083,24,19.4,4.6,42.41,2025-11-06,french rap,https://open.spotify.com/artist/0ZvXadOwtNaacnVKZVFzLr,2025-12-17 11:34:21
Arthrn,8031,17,13.0,4.0,42.27,2024-01-19,Non spécifié,https://open.spotify.com/artist/0DP8DbgAJb9IJNOFUxVIJA,2025-12-17 11:33:33
Tha Manz,1845,26,22.3,3.7,42.05,2025-05-15,french rap,https://open.spotify.com/artist/1mcnbOEvat26bMsiFl5OCl,2025-12-17 11:34:36
