nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
T913,2518,32,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb441ab243ff4da71fcb19cce,https://open.spotify.com/artist/47RRhnkvrKrC6tm7fNYQTN,19,3
lvcas 91,710,19,boom bap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb449d95507bfd2f8356a93ac9,https://open.spotify.com/artist/4t26J3uwUdaNbiGaGvN10K,33,18
Mng917,983,20,"moroccan rap, arabic hip hop, moroccan pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8225d289991836218c770d22,https://open.spotify.com/artist/2PcEZiroZNJhGwc7h2ou0V,6,0
SPACE914,7798,23,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb856cdaf60dead9394f62d93a,https://open.spotify.com/artist/3pwJoorxpumc40GTBrvGeX,33,2
Arso911,4139,4,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb201264449e88dee1eb42e794,https://open.spotify.com/artist/2qvmRNV5NTShJKvi4gAZft,0,0
Rap2Rue,317,24,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273b0fa596d0f6fed32a8ca981c,https://open.spotify.com/artist/5vDfFo9ko8zt163U2qTc2I,2,2
92_Montie,556,12,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7c30c5167ce861023db0fbed,https://open.spotify.com/artist/2EuvBEH0mnMuqGadLoH87L,31,28
Alka92140,4335,8,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273c0ba475640019fe104e1d26c,https://open.spotify.com/artist/0gxgKYUUgdbO3BOqz5iKDI,1,0
Davo 92,3040,10,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7791e2d47a03b2fafa3c5794,https://open.spotify.com/artist/1aC2EaDuaqmdG8HGLbjMf2,34,8
RD92,379,5,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdfd51509c5afb97e1bd0ed10,https://open.spotify.com/artist/6gsBVohYkoryIZGoNhNua9,10,8
rz92i,1511,13,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebceabfd95e8bfba4f20febf8f,https://open.spotify.com/artist/77pl5wtTOGwF5FPUYUDEDz,7,3
92FLOWERS,4315,7,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebca74b4ec5770e7ddbe6b49d7,https://open.spotify.com/artist/7Bwfit5Kgbtxwu5dnf2cVF,7,1
92 Cölby,875,5,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7cae158bc97cb9de7fef3330,https://open.spotify.com/artist/2NgHIxmrAZoHkVdid0KCOM,17,13
Snoobie92,19966,32,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4377b0210d827b5c26a2f0e4,https://open.spotify.com/artist/1nqN4To65NIMSGsU0n8axa,49,18
92 Zorba,1111,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebf880786657883ff241c99745,https://open.spotify.com/artist/5sdvHmw4yMrLqhLanxTjwz,1,0
nes929,397,15,tekno,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc6b00301da8d24b0c41d984a,https://open.spotify.com/artist/3SNPmjhb121Cjy0Oskqsb4,10,10
KLN 93,31711,22,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb53de3f0b34f808bcd3c44a69,https://open.spotify.com/artist/7wMBwaUmhrkuaq7vGWY8bt,8,0
Kasper 939,14349,30,"hip house, french rap",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb5058c3452b621eacbb0da11,https://open.spotify.com/artist/6wUGiWb7FR3Cv39sELlp1U,18,0
Sp93,20490,47,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbeedb4808b122ca076433b20,https://open.spotify.com/artist/70BVuSoIusPEV52Fyi3RlK,22,12
93TWENTY,455,3,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb799dcf82f40a12805f4aa80d,https://open.spotify.com/artist/7uvFEQb8bV6u3pLMpMVnIi,14,5
elyasbitume93200,281,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7dc233d4f64814edbafa9e3d,https://open.spotify.com/artist/6q02OCty2wYpEYoi9aGxPc,31,31
93PUNX,7877,24,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc4def8e3bd6212d9f874160e,https://open.spotify.com/artist/0qfeDvoajHGoVkmIW7fgra,2,0
L'BONVIEU93,445,8,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb6093305e8d78caa8e9fac094,https://open.spotify.com/artist/3m2Za3aMSr52cqPE9uLmpk,18,9
Izzy93,22813,39,sexy drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb1d730e7c9df53fb843878f14,https://open.spotify.com/artist/2AfyzCxD2WTuEbV0XoZajq,41,8
Jaxxon936,796,38,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb2816a5d59aed133704150eb9,https://open.spotify.com/artist/0dkYlOk2RMo0gptziZCpvz,62,41
Crie 930,13194,35,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8447006f3a0af7ff562b2d94,https://open.spotify.com/artist/3dOo2vzOxx1HaSteQGb56s,81,9
G93,959,23,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb6f8515b98772d45434e40f05,https://open.spotify.com/artist/01kKwMSA10JavvAaD0Jj5u,18,0
Sáez'93,2415,23,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0f65de49f5a59f357a0dd544,https://open.spotify.com/artist/2MOr3iEGgA7dQhYUsPBoTI,34,9
Jaso 930,328,17,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b27375b4faedd4f1a333b1daffab,https://open.spotify.com/artist/4nQV8vkMrr01QMueeoPdBu,14,9
IN.94,7408,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbb2cd4229165a762adea349a,https://open.spotify.com/artist/0uFKA5yAa06BUDouOb1X8C,27,15
Gana94,360,17,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb1272ee2dee649d121f89b732,https://open.spotify.com/artist/5fe4yuC5Bkje8RvHWImwoO,12,9
94fatso,10861,43,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb56a762a49d0cb57bab84ef31,https://open.spotify.com/artist/4r9ruEx6tLz2x0WgtXVaoP,41,9
949PAYA$o,32273,41,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4dff63eaeb12b94531772ad4,https://open.spotify.com/artist/1IKjfLTjdQB5p8lqsTgJI1,15,11
Krikke94,533,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb48523d6b3875f6c7e81f7ee0,https://open.spotify.com/artist/6cSb2zbmTRQQdRMZCka4IZ,63,50
Savas94,378,18,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb32ccc40430428e427e7a122a,https://open.spotify.com/artist/7g6MkirQcG8IJCwip8JPu3,7,0
949_creeper,21973,40,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb874aea809f40e122e3ebde93,https://open.spotify.com/artist/1dsLZMddSbqEnWNrXAZMr7,18,7
94brizzy,9763,25,trap metal,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2735997e5c992ecf0dcb5d8cb9d,https://open.spotify.com/artist/4NOg3L0IrFUnGe6dhO1D2i,4,2
Spzy94,574,8,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0c1eb9219c931d1804f3bf98,https://open.spotify.com/artist/248vLcO5YRWGyVSX9GASDT,8,2
